species,description,habitats,threats,environments
Poltys illepidus,"Poltys illepidus is a species from the genus Poltys and family Araneidae. It belongs to the order Araneae, class Arachnida, and kingdom Animalia. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as natural habitats, forests, wetlands, and human-modified environments. Potential threats to this species include habitat degradation and environmental change.","['natural habitat', 'forest', 'wetland', 'human-modified environment']","['habitat degradation', 'environmental change']","['tropical forest', 'wetland', 'human-modified']"
Centella asiatica,"Centella asiatica is a species from the genus Centella and family Apiaceae. It belongs to the order Apiales, class Magnoliopsida, and kingdom Plantae. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, open areas, disturbed habitats, and agricultural landscapes. Potential threats to this species include land conversion, habitat degradation, and environmental change.","['tropical forest', 'open area', 'disturbed habitat', 'agricultural landscape']","['land conversion', 'habitat degradation', 'environmental change']","['tropical forest', 'agricultural land', 'disturbed area']"
Euphorbia hirta,"Euphorbia hirta is a species from the genus Euphorbia and family Euphorbiaceae. It belongs to the order Malpighiales, class Magnoliopsida, and kingdom Plantae. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, open areas, disturbed habitats, and agricultural landscapes. Potential threats to this species include land conversion, habitat degradation, and environmental change.","['tropical forest', 'open area', 'disturbed habitat', 'agricultural landscape']","['land conversion', 'habitat degradation', 'environmental change']","['tropical forest', 'agricultural land', 'open area']"
Bryobium retusum,"Bryobium retusum is a species from the genus Bryobium and family Orchidaceae. It belongs to the order Asparagales, class Liliopsida, and kingdom Plantae. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, open areas, disturbed habitats, and agricultural landscapes. Potential threats to this species include land conversion, habitat degradation, and environmental change.","['tropical forest', 'open area', 'disturbed habitat', 'agricultural landscape']","['land conversion', 'habitat degradation', 'environmental change']","['tropical forest', 'agricultural land', 'open area']"
Crepidium koordersii,"Crepidium koordersii is a species from the genus Crepidium and family Orchidaceae. It belongs to the order Asparagales, class Liliopsida, and kingdom Plantae. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, open areas, disturbed habitats, and agricultural landscapes. Potential threats to this species include land conversion, habitat degradation, and environmental change.","['tropical forest', 'open area', 'disturbed habitat', 'agricultural landscape']","['land conversion', 'habitat degradation', 'environmental change']","['tropical forest', 'agricultural land']"
Anoplolepis gracilipes,"Anoplolepis gracilipes is a species from the genus Anoplolepis and family Formicidae. It belongs to the order Hymenoptera, class Insecta, and kingdom Animalia. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, vegetation areas, gardens, and freshwater surroundings. Potential threats to this species include habitat degradation, pesticide exposure, and environmental change.","['tropical forest', 'vegetation area', 'garden', 'freshwater surroundings']","['habitat degradation', 'pesticide exposure', 'environmental change']","['tropical forest', 'garden', 'freshwater', 'vegetation area']"
Euphorbia heterophylla,"Euphorbia heterophylla is a species from the genus Euphorbia and family Euphorbiaceae. It belongs to the order Malpighiales, class Magnoliopsida, and kingdom Plantae. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, open areas, disturbed habitats, and agricultural landscapes. Potential threats to this species include land conversion, habitat degradation, and environmental change.","['tropical forest', 'open area', 'disturbed habitat', 'agricultural landscape']","['land conversion', 'habitat degradation', 'environmental change']","['tropical forest', 'agricultural land', 'open area']"
Tapinoma melanocephalum,"Tapinoma melanocephalum is a species from the genus Tapinoma and family Formicidae. It belongs to the order Hymenoptera, class Insecta, and kingdom Animalia. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, vegetation areas, gardens, and freshwater surroundings. Potential threats to this species include habitat degradation, pesticide exposure, and environmental change.","['tropical forest', 'vegetation area', 'garden', 'freshwater surroundings']","['habitat degradation', 'pesticide exposure', 'environmental change']","['tropical forest', 'freshwater', 'anthropogenic garden']"
Doleschallia bisaltide,"Doleschallia bisaltide is a species from the genus Doleschallia and family Nymphalidae. It belongs to the order Lepidoptera, class Insecta, and kingdom Animalia. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, vegetation areas, gardens, and freshwater surroundings. Potential threats to this species include habitat degradation, pesticide exposure, and environmental change.","['tropical forest', 'vegetation area', 'garden', 'freshwater surroundings']","['habitat degradation', 'pesticide exposure', 'environmental change']","['tropical forest', 'freshwater', 'garden']"
Breynia androgyna,"Breynia androgyna is a species from the genus Breynia and family Phyllanthaceae. It belongs to the order Malpighiales, class Magnoliopsida, and kingdom Plantae. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, open areas, disturbed habitats, and agricultural landscapes. Potential threats to this species include land conversion, habitat degradation, and environmental change.","['tropical forest', 'open area', 'disturbed habitat', 'agricultural landscape']","['land conversion', 'habitat degradation', 'environmental change']","['tropical forest', 'agricultural land', 'disturbed habitat']"
Suastus gremius,"Suastus gremius is a species from the genus Suastus and family Hesperiidae. It belongs to the order Lepidoptera, class Insecta, and kingdom Animalia. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, vegetation areas, gardens, and freshwater surroundings. Potential threats to this species include habitat degradation, pesticide exposure, and environmental change.","['tropical forest', 'vegetation area', 'garden', 'freshwater surroundings']","['habitat degradation', 'pesticide exposure', 'environmental change']","['tropical forest', 'freshwater', 'anthropogenic garden']"
Ceratosoma tenue,"Ceratosoma tenue is a species from the genus Ceratosoma and family Chromodorididae. It belongs to the order Nudibranchia, class Gastropoda, and kingdom Animalia. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as natural habitats, forests, wetlands, and human-modified environments. Potential threats to this species include habitat degradation and environmental change.","['natural habitat', 'forest', 'wetland', 'human-modified environment']","['habitat degradation', 'environmental change']",['tropical']
Catopsilia pomona,"Catopsilia pomona is a species from the genus Catopsilia and family Pieridae. It belongs to the order Lepidoptera, class Insecta, and kingdom Animalia. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as tropical forests, vegetation areas, gardens, and freshwater surroundings. Potential threats to this species include habitat degradation, pesticide exposure, and environmental change.","['tropical forest', 'vegetation area', 'garden', 'freshwater surroundings']","['habitat degradation', 'pesticide exposure', 'environmental change']","['tropical forest', 'freshwater', 'agricultural land']"
Phyllodesmium briareum,"Phyllodesmium briareum is a species from the genus Phyllodesmium and family Myrrhinidae. It belongs to the order Nudibranchia, class Gastropoda, and kingdom Animalia. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as natural habitats, forests, wetlands, and human-modified environments. Potential threats to this species include habitat degradation and environmental change.","['natural habitat', 'forest', 'wetland', 'human-modified environment']","['habitat degradation', 'environmental change']","['tropical forest', 'wetland', 'human-modified']"
Scytodes fusca,"Scytodes fusca is a species from the genus Scytodes and family Scytodidae. It belongs to the order Araneae, class Arachnida, and kingdom Animalia. This species has occurrence records in Indonesia, which is part of Southeast Asia. It is commonly associated with habitats such as natural habitats, forests, wetlands, and human-modified environments. Potential threats to this species include habitat degradation and environmental change.","['natural habitat', 'forest', 'wetland', 'human-modified environment']","['habitat degradation', 'environmental change']","['forest', 'wetland', 'human-modified']"
