species,cluster,family,countries
Acraea terpsicore,0,Nymphalidae,"[Malaysia, Singapore, Thailand, Viet Nam]"
Acridotheres grandis,0,Sturnidae,[Thailand]
Acridotheres leucocephalus,0,Sturnidae,[Viet Nam]
Acridotheres tristis,0,Sturnidae,"[Malaysia, Singapore, Thailand, Viet Nam]"
Acropora hyacinthus,0,Acroporidae,[Viet Nam]
Actitis hypoleucos,0,Scolopacidae,"[Indonesia, Malaysia, Singapore, Thailand, Viet Nam, Philippines]"
Aerides quinquevulnera,0,Orchidaceae,[Philippines]
Aeschynanthus pedunculatus,0,Gesneriaceae,[Viet Nam]
Agrionoptera insignis,0,Libellulidae,"[Malaysia, Singapore]"
Alcedo atthis,0,Alcedinidae,"[Malaysia, Singapore, Thailand, Viet Nam, Philippines]"
Allamanda cathartica,0,Apocynaceae,[Philippines]
Alophoixus bres,0,Pycnonotidae,[Malaysia]
Amata huebneri,0,Erebidae,"[Indonesia, Singapore]"
Amaurornis phoenicurus,0,Rallidae,"[Indonesia, Malaysia, Singapore, Philippines]"
Anastomus oscitans,0,Ciconiidae,"[Singapore, Thailand, Viet Nam]"
Annona squamosa,0,Annonaceae,[Viet Nam]
Anoplolepis gracilipes,0,Formicidae,"[Indonesia, Malaysia, Viet Nam, Philippines]"
Anser cygnoides,0,Anatidae,"[Malaysia, Viet Nam]"
Anthracoceros albirostris,0,Bucerotidae,"[Malaysia, Singapore, Thailand, Viet Nam]"
Aphis spiraecola,0,Aphididae,[Viet Nam]
Apis florea,0,Apidae,"[Singapore, Thailand, Viet Nam]"
Appias libythea,0,Pieridae,"[Indonesia, Malaysia, Singapore, Thailand]"
Archigenes savitri,0,Riodinidae,[Malaysia]
Ardea alba,0,Ardeidae,"[Singapore, Thailand, Viet Nam, Philippines]"
Ardea cinerea,0,Ardeidae,"[Singapore, Thailand, Viet Nam]"
Ardea purpurea,0,Ardeidae,"[Malaysia, Singapore, Thailand]"
Ardeola bacchus,0,Ardeidae,[Viet Nam]
Areas galactina,0,Erebidae,[Malaysia]
Argiope dang,0,Araneidae,"[Singapore, Thailand, Viet Nam]"
Argiope intricata,0,Araneidae,[Philippines]
Argyreia scortechinii,0,Convolvulaceae,[Viet Nam]
Arhopala epimuta,0,Lycaenidae,[Malaysia]
Arivela viscosa,0,Cleomaceae,"[Thailand, Viet Nam]"
Asota caricae,0,Erebidae,"[Indonesia, Malaysia, Viet Nam, Philippines]"
Asota heliconia,0,Erebidae,"[Indonesia, Philippines]"
Asota plana,0,Erebidae,[Philippines]
Athene brama,0,Strigidae,[Thailand]
Averrhoa bilimbi,0,Oxalidaceae,[Philippines]
Averrhoa carambola,0,Oxalidaceae,[Viet Nam]
Bactrocera dorsalis,0,Tephritidae,[Viet Nam]
Balanophora fungosa,0,Balanophoraceae,[Viet Nam]
Baphia nitida,0,Fabaceae,[Malaysia]
Bauhinia purpurea,0,Fabaceae,[Philippines]
Bavia sexpunctata,0,Salticidae,[Indonesia]
Begonia hatacoa,0,Begoniaceae,[Viet Nam]
Belenois java,0,Pieridae,[Indonesia]
Blattella germanica,0,Ectobiidae,[Viet Nam]
Bothrogonia addita,0,Cicadellidae,"[Malaysia, Singapore]"
Bougainvillea spectabilis,0,Nyctaginaceae,[Philippines]
Brugmansia aurea,0,Solanaceae,[Viet Nam]
Bulbophyllum gracillimum,0,Orchidaceae,[Malaysia]
Cacatua goffiniana,0,Psittacidae,[Singapore]
Cacomantis variolosus,0,Cuculidae,[Indonesia]
Caesalpinia pulcherrima,0,Fabaceae,"[Indonesia, Malaysia]"
Caladium bicolor,0,Araceae,"[Indonesia, Philippines]"
Calliphara nobilis,0,Scutelleridae,[Singapore]
Calotropis gigantea,0,Apocynaceae,"[Indonesia, Thailand]"
Camponotus castanicola,0,Formicidae,[Philippines]
Camponotus festinus,0,Formicidae,"[Indonesia, Malaysia]"
Camponotus singularis,0,Formicidae,[Indonesia]
Capra hircus,0,Bovidae,[Viet Nam]
Caprimulgus jotaka,0,Caprimulgidae,[Viet Nam]
Carex baccans,0,Cyperaceae,[Viet Nam]
Caridina lanceifrons,0,Atyidae,[Viet Nam]
Carriola thyridophora,0,Erebidae,[Malaysia]
Cassia fistula,0,Fabaceae,[Malaysia]
Castalius rosimon,0,Lycaenidae,"[Indonesia, Thailand]"
Catharanthus roseus,0,Apocynaceae,"[Indonesia, Viet Nam, Philippines]"
Catopsilia pomona,0,Pieridae,"[Indonesia, Singapore]"
Catopsilia pyranthe,0,Pieridae,[Indonesia]
Catopsilia scylla,0,Pieridae,[Indonesia]
Cecropis daurica,0,Hirundinidae,"[Indonesia, Thailand]"
Celosia argentea,0,Amaranthaceae,"[Thailand, Viet Nam]"
Ceratosoma trilobatum,0,Chromodorididae,[Philippines]
Cerbera odollam,0,Apocynaceae,"[Indonesia, Malaysia]"
Ceryle rudis,0,Alcedinidae,[Viet Nam]
Cerynia albata,0,Flatidae,[Viet Nam]
Cethosia cyane,0,Nymphalidae,"[Thailand, Viet Nam]"
Chalciope mygdon,0,Erebidae,"[Singapore, Thailand]"
Chassalia curviflora,0,Rubiaceae,[Singapore]
Cheilomenes sexmaculata,0,Coccinellidae,"[Thailand, Viet Nam]"
Chilasa clytia,0,Papilionidae,"[Singapore, Thailand]"
Chloeia incerta,0,Amphinomidae,[Viet Nam]
Chloris monguilloti,0,Fringillidae,[Viet Nam]
Christella parasitica,0,Thelypteridaceae,[Viet Nam]
Chromodoris annae,0,Chromodorididae,"[Indonesia, Philippines]"
Chromodoris magnifica,0,Chromodorididae,[Philippines]
Chrysocolaptes guttacristatus,0,Picidae,[Thailand]
Chrysocoris stollii,0,Scutelleridae,[Viet Nam]
Citripestis sagittiferella,0,Pyralidae,[Viet Nam]
Clitoria ternatea,0,Fabaceae,"[Malaysia, Philippines]"
Coccinella transversalis,0,Coccinellidae,[Viet Nam]
Codiaeum variegatum,0,Euphorbiaceae,"[Thailand, Philippines]"
Coeliccia chromothorax,0,Platycnemididae,[Thailand]
Coeliccia membranipes,0,Platycnemididae,[Indonesia]
Coeliccia poungyi,0,Platycnemididae,[Thailand]
Coelogyne candoonensis,0,Orchidaceae,[Philippines]
Coelophora inaequalis,0,Coccinellidae,"[Indonesia, Singapore, Philippines]"
Colocasia esculenta,0,Araceae,"[Indonesia, Philippines]"
Colpodaspis thompsoni,0,Colpodaspididae,"[Malaysia, Thailand]"
Columba livia,0,Columbidae,"[Malaysia, Singapore, Thailand, Viet Nam, Philippines]"
Conocephalus melaenus,0,Tettigoniidae,"[Singapore, Thailand]"
Copera marginipes,0,Platycnemididae,"[Indonesia, Malaysia]"
Copera vittata,0,Platycnemididae,[Singapore]
Copsychus saularis,0,Muscicapidae,"[Malaysia, Singapore, Thailand, Viet Nam]"
Coriandrum sativum,0,Apiaceae,"[Thailand, Viet Nam]"
Corvus macrorhynchos,0,Corvidae,"[Malaysia, Singapore, Thailand, Viet Nam]"
Corvus splendens,0,Corvidae,"[Malaysia, Singapore]"
